TIME,X,Y,Z
44283,0.00,-0.01,-0.02
44309,0.00,-0.01,-0.01
44336,0.00,-0.01,-0.01
44362,0.01,-0.01,-0.01
44391,0.01,-0.01,-0.02
44418,0.00,-0.01,-0.01
44444,0.00,-0.01,-0.01
44471,0.00,-0.01,-0.01
44497,0.01,-0.01,-0.01
44524,0.01,-0.01,-0.01
44553,0.00,-0.02,0.00
44584,0.00,-0.01,-0.01
44612,0.00,-0.01,-0.01
44639,0.00,-0.01,-0.01
44665,0.00,-0.02,-0.01
44691,0.00,-0.01,-0.01
44718,0.00,-0.01,-0.01
44747,0.01,-0.01,-0.01
44773,0.01,-0.01,-0.01
44800,0.01,-0.01,-0.02
44826,0.01,-0.01,-0.01
44853,0.02,-0.01,-0.01
44879,0.01,-0.01,-0.01
44905,0.00,-0.02,-0.01
44934,0.00,-0.02,0.00
44961,0.01,-0.01,-0.01
44988,0.00,-0.01,-0.01
45014,0.00,-0.01,-0.01
45040,0.00,-0.02,-0.01
45067,0.00,-0.01,-0.01
45096,0.00,-0.01,-0.01
45122,0.00,-0.01,-0.01
45149,0.00,-0.01,-0.01
45175,0.00,-0.01,-0.01
45202,0.01,-0.01,-0.01
45228,0.00,-0.02,-0.01
45255,0.00,-0.02,0.00
45283,0.00,-0.02,-0.01
45310,0.00,-0.01,-0.02
45339,0.00,-0.01,-0.02
45366,0.00,-0.01,-0.01
45392,0.00,-0.02,-0.01
45419,0.00,-0.01,-0.01
45447,0.00,-0.01,-0.01
45474,0.00,-0.01,-0.01
45500,0.00,-0.01,-0.01
45527,0.00,-0.01,-0.01
45553,0.00,-0.01,-0.01
45579,0.00,-0.01,-0.01
45606,0.00,-0.01,-0.01
45641,0.00,-0.01,-0.01
45669,0.00,-0.01,-0.01
45697,0.00,-0.01,-0.01
45725,0.00,-0.01,-0.01
45753,0.00,-0.01,-0.02
45781,0.00,-0.01,-0.01
45812,0.00,-0.01,-0.01
45840,0.00,-0.01,-0.01
45868,0.00,-0.01,0.00
45896,0.00,-0.01,-0.01
45924,0.00,-0.01,-0.01
45952,0.00,-0.01,-0.01
45980,0.01,-0.01,-0.01
46011,0.00,-0.01,-0.02
46039,0.00,-0.01,-0.01
46067,0.00,-0.02,-0.01
46095,0.01,-0.01,-0.01
46127,0.00,-0.01,-0.01
46157,0.00,-0.01,-0.01
46187,0.00,-0.02,-0.01
46216,0.00,-0.01,-0.02
46244,0.00,-0.01,-0.02
46272,-0.01,-0.02,-0.01
46300,0.00,-0.02,-0.01
46328,-0.02,-0.02,-0.01
46357,-0.06,-0.02,-0.01
46387,-0.07,0.05,-0.02
46416,-0.14,0.14,-0.04
46443,-0.30,0.15,-0.08
46471,-0.52,0.03,-0.11
46499,-0.70,-0.01,-0.12
46527,-0.76,-0.02,-0.14
46557,-0.91,-0.10,-0.19
46585,-1.03,-0.10,-0.22
46613,-1.08,-0.05,-0.23
46641,-1.12,-0.03,-0.25
46668,-1.23,-0.05,-0.22
46696,-1.31,-0.01,-0.20
46726,-1.35,-0.02,-0.25
46754,-1.41,-0.08,-0.20
46782,-1.60,-0.06,-0.02
46810,-1.75,-0.06,0.07
46838,-1.66,-0.16,-0.02
46866,-1.33,-0.22,-0.19
46893,-1.17,-0.14,-0.11
46926,-1.21,-0.16,-0.06
46954,-1.25,-0.26,-0.15
46982,-1.24,-0.27,-0.12
47009,-1.06,-0.13,-0.07
47037,-0.90,-0.11,-0.18
47065,-0.88,-0.13,-0.19
47094,-0.91,-0.11,-0.08
47120,-0.73,-0.06,-0.11
47148,-0.48,-0.02,-0.18
47176,-0.34,-0.02,-0.11
47203,-0.35,-0.07,-0.06
47231,-0.32,-0.10,-0.06
47259,-0.21,-0.04,0.04
47285,-0.01,0.04,0.11
47313,0.15,0.00,0.05
47342,0.23,0.00,0.08
47370,0.46,0.05,0.11
47397,0.70,0.07,0.02
47425,0.72,0.05,0.05
47456,0.78,0.05,0.15
47484,1.00,0.09,0.18
47512,1.24,0.13,0.12
47539,1.46,0.23,0.16
47567,1.50,0.18,0.16
47594,1.49,0.03,0.06
47622,1.63,0.03,-0.04
47653,1.73,0.19,0.00
47681,1.65,0.21,0.02
47708,1.57,0.08,-0.01
47736,1.53,0.03,-0.05
47766,1.30,0.04,0.13
47796,1.14,0.00,0.19
